Region,Season,Catch_Meat,Catch_Round,Dredge_Hours
Bering Sea,2000,205520.00,2376601.00,3355.00
Bering Sea,2001,140871.00,1700500.00,3072.00
Bering Sea,2002,92240.00,951938.00,2038.00
Bering Sea,2003,42590.00,537552.00,1020.00
Bering Sea,2004,10050.00,128128.00,275.00
Bering Sea,2005,23220.00,231700.00,602.00
Bering Sea,2006,48246.00,529590.00,1138.00
Bering Sea,2007,49995.00,697288.00,1084.00
Bering Sea,2008,49995.00,502450.00,960.00
Bering Sea,2009,48921.00,595602.00,1275.00
Bering Sea,2010,50100.00,547302.00,972.00
Bering Sea,2011,50275.00,529235.00,984.00
Bering Sea,2012,50045.00,564787.00,943.00
Bering Sea,2013,49989.00,561033.00,1086.00
Bering Sea,2014,12445.00,227196.00,525.00
Bering Sea,2015,7500.00,107337.00,307.00
Bering Sea,2016,7575.00,108191.00,275.00
Bering Sea,2017,7535.00,105668.00,316.00
Bering Sea,2018,7540.00,125978.00,357.00
Bering Sea,2019,7130.00,106177.00,365.00
Kodiak,2009,3480.00,62241.00,159.00
Kodiak,2010,3783.00,49485.00,100.00
Kodiak,2011,25110.00,348142.00,455.00
Kodiak,2012,25014.00,261318.00,671.00
Kodiak,2013,21715.00,241692.00,549.00
Kodiak,2014,28555.00,352196.00,636.00
Kodiak,2015,15614.00,208140.00,417.00
Kodiak,2016,29624.00,503046.00,558.00
Kodiak,2017,29200.00,384891.00,441.00
Kodiak,2018,33319.00,398928.00,510.00
Kodiak,2019,35010.00,450977.00,636.00
Kodiak,2020,25950.00,360788.00,589.00
Shelikof,2000,180087.00,1768376.00,2905.00
Shelikof,2001,177112.00,1830265.00,3398.00
Shelikof,2002,180580.00,1857466.00,3799.00
Shelikof,2003,180011.00,1724498.00,3258.00
Shelikof,2004,174622.00,1641608.00,3467.00
Shelikof,2005,159941.00,1453656.00,2278.00
Shelikof,2006,162537.00,1404134.00,2181.00
Shelikof,2007,169968.00,1695563.00,2937.00
Shelikof,2008,13761.00,2053912.00,3286.00
Shelikof,2009,170021.00,1667958.00,3496.00
Shelikof,2010,167293.00,1839480.00,3407.00
Shelikof,2011,136435.00,1437093.00,2437.00
Shelikof,2012,106040.00,992665.00,2001.00
Shelikof,2013,104725.00,899261.00,2449.00
Shelikof,2014,62556.00,609092.00,1548.00
Shelikof,2015,35626.00,431843.00,1188.00
Shelikof,2016,20606.00,264153.00,719.00
Shelikof,2017,20870.00,211277.00,481.00
Shelikof,2018,21701.00,239700.00,416.00
Shelikof,2019,20125.00,249287.00,380.00
Shelikof,2020,40060.00,408723.00,433.00